Month,Android Phone,iPhone,Laptops,Headphones,Chargers,Total
2024-01,2,14,4,46,22,88
2024-02,2,13,4,44,21,84
2024-03,3,15,5,48,23,94
2024-04,2,16,5,49,24,96
2024-05,3,15,5,50,25,98
2024-06,3,16,5,52,26,102
2024-07,3,17,6,53,26,105
2024-08,4,18,6,55,27,110
2024-09,4,19,6,57,28,114
2024-10,4,20,6,59,29,118
2024-11,5,22,7,62,31,127
2024-12,5,23,7,64,32,131
2025-01,3,16,5,50,24,98
2025-02,3,15,5,49,24,96
2025-03,4,18,6,54,26,108
2025-04,4,19,6,55,27,111
2025-05,4,20,6,57,28,115
2025-06,5,21,7,59,29,121
2025-07,5,22,7,61,30,125
2025-08,5,23,7,63,31,129
2025-09,6,24,8,65,32,135
2025-10,6,26,8,68,33,141
2025-11,7,27,8,71,35,148
2025-12,7,29,9,74,36,155
